Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
36720,2023-03-11 00:00:00,65.4,19.0,58.0,698.0,0.0,115.0,0.0,1.0,19.0
36721,2023-03-11 01:00:00,66.59,21.0,57.0,698.0,0.0,115.0,0.0,1.0,19.0
36722,2023-03-11 02:00:00,69.4,21.0,63.0,698.0,0.0,113.0,0.0,2.0,19.0
36723,2023-03-11 03:00:00,68.55,20.0,64.0,698.0,0.0,123.0,0.0,2.0,19.0
36724,2023-03-11 04:00:00,66.2,24.0,61.0,698.0,0.0,216.0,0.0,2.0,19.0
36725,2023-03-11 05:00:00,60.91,25.0,64.0,698.0,0.0,414.0,1.0,1.0,18.0
36726,2023-03-11 06:00:00,57.66,25.0,63.0,698.0,0.0,519.0,15.0,1.0,19.0
36727,2023-03-11 07:00:00,91.94,94.0,67.0,698.0,0.0,593.0,35.0,0.0,19.0
36728,2023-03-11 08:00:00,116.55,157.0,67.0,698.0,0.0,659.0,51.0,0.0,19.0
36729,2023-03-11 09:00:00,128.08,153.0,66.0,698.0,0.0,430.0,71.0,1.0,20.0
36730,2023-03-11 10:00:00,122.62,134.0,65.0,698.0,0.0,359.0,87.0,1.0,20.0
36731,2023-03-11 11:00:00,141.42,162.0,64.0,698.0,0.0,297.0,89.0,1.0,19.0
36732,2023-03-11 12:00:00,155.01,171.0,66.0,698.0,0.0,209.0,90.0,1.0,19.0
36733,2023-03-11 13:00:00,157.25,171.0,58.0,698.0,0.0,177.0,78.0,2.0,19.0
36734,2023-03-11 14:00:00,148.34,173.0,58.0,698.0,0.0,290.0,60.0,1.0,19.0
36735,2023-03-11 15:00:00,135.93,172.0,59.0,698.0,0.0,456.0,28.0,2.0,19.0
36736,2023-03-11 16:00:00,120.07,167.0,60.0,698.0,0.0,680.0,4.0,2.0,20.0
36737,2023-03-11 17:00:00,120.27,170.0,63.0,698.0,0.0,712.0,0.0,2.0,19.0
36738,2023-03-11 18:00:00,123.75,172.0,66.0,697.0,0.0,680.0,0.0,2.0,19.0
36739,2023-03-11 19:00:00,119.77,168.0,64.0,697.0,0.0,711.0,0.0,2.0,19.0
36740,2023-03-11 20:00:00,124.02,170.0,68.0,698.0,0.0,669.0,0.0,1.0,19.0
36741,2023-03-11 21:00:00,129.31,171.0,66.0,698.0,0.0,586.0,0.0,2.0,19.0
36742,2023-03-11 22:00:00,142.9,171.0,62.0,698.0,0.0,398.0,0.0,2.0,19.0
36743,2023-03-11 23:00:00,170.59,188.0,60.0,698.0,0.0,214.0,0.0,2.0,19.0
