,UTC time,carbon_intensity,biomass,coal,nat_gas,avg_nat_gas_production_forecast
31,2019-01-02 07:00:00+00:00,202.24,22198,42858,19263,0
32,2019-01-02 08:00:00+00:00,221.06,22246,49720,20241,0
33,2019-01-02 09:00:00+00:00,233.62,22310,55842,21563,0
34,2019-01-02 10:00:00+00:00,229.37,22315,56713,21025,0
35,2019-01-02 11:00:00+00:00,227.22,22374,57733,21382,0
36,2019-01-02 12:00:00+00:00,225.91,22427,56999,21780,0
37,2019-01-02 13:00:00+00:00,231.64,22397,57102,21872,0
38,2019-01-02 14:00:00+00:00,257.14,22496,63157,21690,0
39,2019-01-02 15:00:00+00:00,293.39,22499,73156,22275,0
40,2019-01-02 16:00:00+00:00,319.7,22436,82045,23472,0
41,2019-01-02 17:00:00+00:00,331.73,22505,85035,24364,0
42,2019-01-02 18:00:00+00:00,344.46,22547,87052,25220,0
43,2019-01-02 19:00:00+00:00,354.83,22521,87728,25378,0
44,2019-01-02 20:00:00+00:00,365.16,22430,88941,24567,0
45,2019-01-02 21:00:00+00:00,366.63,22418,85946,23943,0
46,2019-01-02 22:00:00+00:00,371.46,22197,84583,23442,0
47,2019-01-02 23:00:00+00:00,369.04,22081,80479,23203,0
48,2019-01-03 00:00:00+00:00,367.28,21940,79743,22868,0
49,2019-01-03 01:00:00+00:00,370.32,21926,81146,22861,0
50,2019-01-03 02:00:00+00:00,374.69,21906,82426,22666,0
51,2019-01-03 03:00:00+00:00,369.82,21884,81577,23330,0
52,2019-01-03 04:00:00+00:00,365.3,21915,81346,24473,0
53,2019-01-03 05:00:00+00:00,375.32,21840,87818,27390,0
54,2019-01-03 06:00:00+00:00,392.73,21916,96931,33680,0
55,2019-01-03 07:00:00+00:00,399.54,22091,101207,35796,0
56,2019-01-03 08:00:00+00:00,407.04,22194,106130,38462,0
57,2019-01-03 09:00:00+00:00,413.85,22220,110718,39431,0
58,2019-01-03 10:00:00+00:00,421.59,22236,113858,39272,0
59,2019-01-03 11:00:00+00:00,428.8,22313,115327,39145,0
60,2019-01-03 12:00:00+00:00,439.85,22317,116719,39078,0
61,2019-01-03 13:00:00+00:00,449.65,22170,115553,39342,0
62,2019-01-03 14:00:00+00:00,462.15,22225,114793,39889,0
63,2019-01-03 15:00:00+00:00,472.37,22350,115881,39848,0
64,2019-01-03 16:00:00+00:00,470.71,22344,117379,40151,0
65,2019-01-03 17:00:00+00:00,461.68,22393,115978,40204,0
66,2019-01-03 18:00:00+00:00,457.79,22431,114238,40251,0
67,2019-01-03 19:00:00+00:00,460.66,22393,115378,40132,0
68,2019-01-03 20:00:00+00:00,464.11,22364,117084,39777,0
69,2019-01-03 21:00:00+00:00,469.51,22346,115922,38093,0
70,2019-01-03 22:00:00+00:00,471.17,22267,112412,35431,0
71,2019-01-03 23:00:00+00:00,462.18,22167,103762,33434,0
72,2019-01-04 00:00:00+00:00,452.02,21927,99281,30874,0
73,2019-01-04 01:00:00+00:00,435.08,21970,96843,28581,0
74,2019-01-04 02:00:00+00:00,421.65,22039,95395,27405,0
75,2019-01-04 03:00:00+00:00,405.69,21989,93956,26812,0
76,2019-01-04 04:00:00+00:00,392.52,22015,92154,27186,0
77,2019-01-04 05:00:00+00:00,383,21976,92240,28769,0
78,2019-01-04 06:00:00+00:00,378.89,21951,94257,30760,0
79,2019-01-04 07:00:00+00:00,374.54,22060,98457,31021,0
80,2019-01-04 08:00:00+00:00,370.6,22177,99078,31912,0
81,2019-01-04 09:00:00+00:00,362.61,22138,98489,33130,0
82,2019-01-04 10:00:00+00:00,353.35,22173,97881,33015,0
83,2019-01-04 11:00:00+00:00,344.32,22149,97872,32963,0
84,2019-01-04 12:00:00+00:00,334.31,22164,96207,32014,0
85,2019-01-04 13:00:00+00:00,330.63,22123,94858,30564,0
86,2019-01-04 14:00:00+00:00,338.55,22105,96276,32073,0
87,2019-01-04 15:00:00+00:00,342.12,22102,96563,32517,0
88,2019-01-04 16:00:00+00:00,343.31,22099,98479,30263,0
89,2019-01-04 17:00:00+00:00,342.14,22187,98579,30265,0
90,2019-01-04 18:00:00+00:00,337.72,22301,95363,30410,0
91,2019-01-04 19:00:00+00:00,328.98,22297,88898,29725,0
92,2019-01-04 20:00:00+00:00,321.38,22239,84541,27813,0
93,2019-01-04 21:00:00+00:00,307.94,22224,77799,25593,0
94,2019-01-04 22:00:00+00:00,294.7,22094,72024,24902,0
95,2019-01-04 23:00:00+00:00,269.32,22063,61930,23125,0
96,2019-01-05 00:00:00+00:00,247.88,21964,54645,20295,0
97,2019-01-05 01:00:00+00:00,238.07,21903,51079,20413,0
98,2019-01-05 02:00:00+00:00,231.73,21835,49636,20339,0
99,2019-01-05 03:00:00+00:00,223.65,21741,47738,20130,0
100,2019-01-05 04:00:00+00:00,222.28,21760,47630,20171,0
101,2019-01-05 05:00:00+00:00,227.78,21679,49885,20333,0
102,2019-01-05 06:00:00+00:00,236.2,21757,53588,20845,0
103,2019-01-05 07:00:00+00:00,258.96,21840,61537,22751,0
104,2019-01-05 08:00:00+00:00,277.93,22037,68540,23509,0
105,2019-01-05 09:00:00+00:00,297.33,21905,77180,24249,0
106,2019-01-05 10:00:00+00:00,312.96,21869,83332,25564,0
107,2019-01-05 11:00:00+00:00,320.58,21917,85723,25393,0
108,2019-01-05 12:00:00+00:00,328.26,21969,87163,25758,0
109,2019-01-05 13:00:00+00:00,336.31,22007,88949,25135,0
110,2019-01-05 14:00:00+00:00,346.21,22021,89442,25700,0
111,2019-01-05 15:00:00+00:00,353.74,22131,89398,26338,0
112,2019-01-05 16:00:00+00:00,360.95,22171,91348,26531,0
113,2019-01-05 17:00:00+00:00,366.22,22177,93285,26765,0
114,2019-01-05 18:00:00+00:00,363.89,22268,92114,26905,0
115,2019-01-05 19:00:00+00:00,365.51,22221,90529,26263,0
116,2019-01-05 20:00:00+00:00,360.62,22103,87475,25191,0
117,2019-01-05 21:00:00+00:00,355.12,22028,82404,25170,0
118,2019-01-05 22:00:00+00:00,356.61,21990,80467,24567,0
119,2019-01-05 23:00:00+00:00,352.56,21858,76750,23720,0
120,2019-01-06 00:00:00+00:00,352.41,21823,75205,22768,0
121,2019-01-06 01:00:00+00:00,362.85,21795,77213,22480,0
122,2019-01-06 02:00:00+00:00,372.69,21763,78823,22807,0
123,2019-01-06 03:00:00+00:00,373.95,21862,77911,22700,0
124,2019-01-06 04:00:00+00:00,376.83,21847,76934,23024,0
125,2019-01-06 05:00:00+00:00,386.36,21885,79201,23532,0
126,2019-01-06 06:00:00+00:00,402.04,21894,81011,23510,0
127,2019-01-06 07:00:00+00:00,421.01,21858,87334,23987,0
128,2019-01-06 08:00:00+00:00,429.18,21911,90311,26092,0
129,2019-01-06 09:00:00+00:00,439.4,21940,94662,28584,0
130,2019-01-06 10:00:00+00:00,442.58,21984,97980,29346,0
131,2019-01-06 11:00:00+00:00,447.72,22064,101764,30548,0
132,2019-01-06 12:00:00+00:00,447.78,22124,103113,31304,0
133,2019-01-06 13:00:00+00:00,446.81,22046,102500,30906,0
134,2019-01-06 14:00:00+00:00,453.68,22053,102744,30259,0
135,2019-01-06 15:00:00+00:00,462.09,22086,106265,31543,0
136,2019-01-06 16:00:00+00:00,461.35,22129,108620,31818,0
137,2019-01-06 17:00:00+00:00,455.84,22162,110103,32213,0
138,2019-01-06 18:00:00+00:00,451.67,22185,110409,32208,0
139,2019-01-06 19:00:00+00:00,449,22191,109944,31865,0
140,2019-01-06 20:00:00+00:00,450.67,22108,108346,31106,0
141,2019-01-06 21:00:00+00:00,447.89,22125,106722,30354,0
142,2019-01-06 22:00:00+00:00,446.43,22053,105394,29483,0
143,2019-01-06 23:00:00+00:00,441.34,22052,102469,28609,0
144,2019-01-07 00:00:00+00:00,434.88,21938,100014,27595,0
145,2019-01-07 01:00:00+00:00,430.28,21904,98095,27500,0
146,2019-01-07 02:00:00+00:00,425.39,21929,96662,27613,0
147,2019-01-07 03:00:00+00:00,424.36,21900,95950,27769,0
148,2019-01-07 04:00:00+00:00,428.19,21887,99309,29072,0
149,2019-01-07 05:00:00+00:00,439.51,21894,107508,30425,0
150,2019-01-07 06:00:00+00:00,457.07,21895,116190,33648,0
151,2019-01-07 07:00:00+00:00,471.78,22062,120844,36981,0
152,2019-01-07 08:00:00+00:00,478.19,21983,122457,37224,0
153,2019-01-07 09:00:00+00:00,477.98,22008,123118,37680,0
154,2019-01-07 10:00:00+00:00,467.92,22059,123297,38182,0
155,2019-01-07 11:00:00+00:00,451.96,21768,122859,38690,0
156,2019-01-07 12:00:00+00:00,434.87,21457,120447,39176,0
157,2019-01-07 13:00:00+00:00,425.95,21436,119202,41102,0
158,2019-01-07 14:00:00+00:00,420.25,21332,117988,42338,0
159,2019-01-07 15:00:00+00:00,411.28,21357,116325,42961,0
160,2019-01-07 16:00:00+00:00,395.06,21472,114384,42702,0
161,2019-01-07 17:00:00+00:00,377.39,21491,111844,42554,0
162,2019-01-07 18:00:00+00:00,349.9,21611,103993,39199,0
163,2019-01-07 19:00:00+00:00,307.44,21531,86686,35048,0
164,2019-01-07 20:00:00+00:00,262.54,21518,69960,28128,0
165,2019-01-07 21:00:00+00:00,238.56,21429,60879,23757,0
166,2019-01-07 22:00:00+00:00,217.06,21373,50733,22002,0
167,2019-01-07 23:00:00+00:00,200.5,21382,45115,19417,0
168,2019-01-08 00:00:00+00:00,189.6,21612,41820,16389,0
169,2019-01-08 01:00:00+00:00,184.61,21500,40070,15995,0
170,2019-01-08 02:00:00+00:00,185.28,21543,39958,16257,0
171,2019-01-08 03:00:00+00:00,185.21,21543,40008,17072,0
172,2019-01-08 04:00:00+00:00,190.7,21546,41426,18359,0
173,2019-01-08 05:00:00+00:00,202.24,21584,45910,21181,0
174,2019-01-08 06:00:00+00:00,216.97,21597,53709,23725,0
175,2019-01-08 07:00:00+00:00,232.94,21623,62320,25489,0
176,2019-01-08 08:00:00+00:00,235.59,21905,64238,26423,0
177,2019-01-08 09:00:00+00:00,226.63,22153,62256,25839,0
178,2019-01-08 10:00:00+00:00,219.47,22159,59976,25678,0
179,2019-01-08 11:00:00+00:00,214.76,22120,58339,25778,0
180,2019-01-08 12:00:00+00:00,211.72,22206,57563,25846,0
181,2019-01-08 13:00:00+00:00,211.97,22266,56854,25866,0
182,2019-01-08 14:00:00+00:00,216.12,22307,57233,26309,0
183,2019-01-08 15:00:00+00:00,221.13,22312,58915,26294,0
184,2019-01-08 16:00:00+00:00,222.24,22498,59436,26052,0
185,2019-01-08 17:00:00+00:00,225.98,22591,60955,26532,0
186,2019-01-08 18:00:00+00:00,225.02,22539,60282,25887,0
187,2019-01-08 19:00:00+00:00,219.01,22494,57382,24932,0
188,2019-01-08 20:00:00+00:00,213.19,22493,54542,22856,0
189,2019-01-08 21:00:00+00:00,207.21,22462,51148,21764,0
190,2019-01-08 22:00:00+00:00,200.87,22409,47444,20157,0
191,2019-01-08 23:00:00+00:00,192.6,22282,43029,18772,0
192,2019-01-09 00:00:00+00:00,190.1,21928,41544,18781,0
193,2019-01-09 01:00:00+00:00,192.68,21864,41255,18533,0
194,2019-01-09 02:00:00+00:00,193.44,21899,41221,18346,0
195,2019-01-09 03:00:00+00:00,197.06,21810,42521,18365,0
196,2019-01-09 04:00:00+00:00,208.4,21832,46390,19740,0
197,2019-01-09 05:00:00+00:00,235.36,21871,56275,22659,0
198,2019-01-09 06:00:00+00:00,262.33,21894,69540,25250,0
199,2019-01-09 07:00:00+00:00,284.43,21902,80194,28953,0
200,2019-01-09 08:00:00+00:00,291.64,21984,84458,29217,0
201,2019-01-09 09:00:00+00:00,292.55,21958,84732,29379,0
202,2019-01-09 10:00:00+00:00,288.66,22019,84485,29847,0
203,2019-01-09 11:00:00+00:00,287.89,21932,85755,29796,0
204,2019-01-09 12:00:00+00:00,286.35,21898,85481,29718,0
205,2019-01-09 13:00:00+00:00,288.54,21956,86319,29194,0
206,2019-01-09 14:00:00+00:00,292,21997,85576,29278,0
207,2019-01-09 15:00:00+00:00,301.84,22178,88135,30964,0
208,2019-01-09 16:00:00+00:00,309.37,22284,90704,31830,0
209,2019-01-09 17:00:00+00:00,314.85,22389,91735,32728,0
210,2019-01-09 18:00:00+00:00,316.8,22331,91674,32437,0
211,2019-01-09 19:00:00+00:00,318.43,22353,90352,32017,0
212,2019-01-09 20:00:00+00:00,327.31,22458,90976,31700,0
213,2019-01-09 21:00:00+00:00,336.8,22335,89758,30908,0
214,2019-01-09 22:00:00+00:00,345.4,22148,87642,30190,0
215,2019-01-09 23:00:00+00:00,359.33,22318,88994,29962,0
216,2019-01-10 00:00:00+00:00,375.92,22249,92163,28334,0
217,2019-01-10 01:00:00+00:00,388.8,22142,93643,28592,0
218,2019-01-10 02:00:00+00:00,402.81,22149,95401,28578,0
219,2019-01-10 03:00:00+00:00,417.62,22129,99105,29349,0
220,2019-01-10 04:00:00+00:00,432.7,22113,104273,30634,0
221,2019-01-10 05:00:00+00:00,456.15,22078,114142,33491,0
222,2019-01-10 06:00:00+00:00,470.64,22188,119145,39842,0
223,2019-01-10 07:00:00+00:00,480.35,22257,120490,42965,0
224,2019-01-10 08:00:00+00:00,490.2,22203,122243,47793,0
225,2019-01-10 09:00:00+00:00,493.89,22367,122548,48904,0
226,2019-01-10 10:00:00+00:00,493.88,22390,121420,48637,0
227,2019-01-10 11:00:00+00:00,495.36,22352,121816,50041,0
228,2019-01-10 12:00:00+00:00,497.73,22317,122578,48844,0
229,2019-01-10 13:00:00+00:00,502.52,22432,122554,49151,0
230,2019-01-10 14:00:00+00:00,511.27,22374,122234,50318,0
231,2019-01-10 15:00:00+00:00,517.31,22374,122642,49534,0
232,2019-01-10 16:00:00+00:00,518.14,22406,123033,50482,0
233,2019-01-10 17:00:00+00:00,516.54,22464,123853,51171,0
234,2019-01-10 18:00:00+00:00,514.36,22475,124392,50329,0
235,2019-01-10 19:00:00+00:00,510.72,22450,124166,47120,0
236,2019-01-10 20:00:00+00:00,508.65,22433,123673,44902,0
237,2019-01-10 21:00:00+00:00,501.21,22422,122688,43121,0
238,2019-01-10 22:00:00+00:00,495.03,22085,122428,39215,0
239,2019-01-10 23:00:00+00:00,483.09,22266,119018,35094,0
240,2019-01-11 00:00:00+00:00,471.59,22225,114537,33302,0
241,2019-01-11 01:00:00+00:00,461.86,22200,112894,33324,0
242,2019-01-11 02:00:00+00:00,446.28,22208,110155,32289,0
243,2019-01-11 03:00:00+00:00,429.22,22233,107034,31353,0
244,2019-01-11 04:00:00+00:00,421.68,22318,106911,33299,0
245,2019-01-11 05:00:00+00:00,419.66,22269,110490,36422,0
246,2019-01-11 06:00:00+00:00,418.05,22300,114026,39085,0
247,2019-01-11 07:00:00+00:00,417.8,22339,116108,42234,0
248,2019-01-11 08:00:00+00:00,415.1,22405,115923,42850,0
249,2019-01-11 09:00:00+00:00,409.04,22515,115251,42817,0
250,2019-01-11 10:00:00+00:00,402.34,22486,114902,43207,0
251,2019-01-11 11:00:00+00:00,395.43,22524,115045,43473,0
252,2019-01-11 12:00:00+00:00,382.19,22393,112998,41817,0
253,2019-01-11 13:00:00+00:00,371.06,22396,109276,42906,0
254,2019-01-11 14:00:00+00:00,362.3,22529,105479,41781,0
255,2019-01-11 15:00:00+00:00,355.25,22498,102314,40615,0
256,2019-01-11 16:00:00+00:00,354.06,22531,102282,41182,0
257,2019-01-11 17:00:00+00:00,353.22,22563,103496,41398,0
258,2019-01-11 18:00:00+00:00,348.91,22616,100105,40781,0
259,2019-01-11 19:00:00+00:00,344.47,22513,93998,39201,0
260,2019-01-11 20:00:00+00:00,333.67,22504,86808,36089,0
261,2019-01-11 21:00:00+00:00,327.4,22602,82484,33049,0
262,2019-01-11 22:00:00+00:00,323.61,22361,81111,25911,0
263,2019-01-11 23:00:00+00:00,316.1,22364,76812,23813,0
264,2019-01-12 00:00:00+00:00,318.29,22332,76538,22923,0
265,2019-01-12 01:00:00+00:00,318.68,22282,75219,23257,0
266,2019-01-12 02:00:00+00:00,323.19,22314,75342,23062,0
267,2019-01-12 03:00:00+00:00,320.52,22314,73151,23043,0
268,2019-01-12 04:00:00+00:00,314.06,22308,70432,23141,0
269,2019-01-12 05:00:00+00:00,300.35,22340,65937,23603,0
270,2019-01-12 06:00:00+00:00,295.71,22353,65300,25535,0
271,2019-01-12 07:00:00+00:00,295.13,22467,66971,25594,0
272,2019-01-12 08:00:00+00:00,299.87,22508,70732,25947,0
273,2019-01-12 09:00:00+00:00,295.53,22510,72335,26495,0
274,2019-01-12 10:00:00+00:00,282.66,22529,70983,26369,0
275,2019-01-12 11:00:00+00:00,266.41,22593,68281,24798,0
276,2019-01-12 12:00:00+00:00,254.54,22647,66091,23848,0
277,2019-01-12 13:00:00+00:00,241.81,22650,60912,23611,0
278,2019-01-12 14:00:00+00:00,236.01,22663,58430,22898,0
279,2019-01-12 15:00:00+00:00,234.08,22698,57741,22495,0
280,2019-01-12 16:00:00+00:00,237.73,22749,59571,22779,0
281,2019-01-12 17:00:00+00:00,240.92,22688,61005,23617,0
282,2019-01-12 18:00:00+00:00,237.07,22727,59425,23255,0
283,2019-01-12 19:00:00+00:00,234.63,22727,57820,22428,0
284,2019-01-12 20:00:00+00:00,220.83,22710,51116,20946,0
285,2019-01-12 21:00:00+00:00,213.03,22672,46179,19743,0
286,2019-01-12 22:00:00+00:00,208.83,22543,43874,19211,0
287,2019-01-12 23:00:00+00:00,194.28,22468,38660,17696,0
288,2019-01-13 00:00:00+00:00,176.7,22425,32993,15202,0
289,2019-01-13 01:00:00+00:00,176.12,22355,31671,14926,0
290,2019-01-13 02:00:00+00:00,181.08,22313,32318,14813,0
291,2019-01-13 03:00:00+00:00,187.01,22247,33963,14739,0
292,2019-01-13 04:00:00+00:00,188.73,22276,33834,15120,0
293,2019-01-13 05:00:00+00:00,188.07,22333,33212,15595,0
294,2019-01-13 06:00:00+00:00,183.22,22366,32912,15430,0
295,2019-01-13 07:00:00+00:00,179.1,22560,32643,15536,0
296,2019-01-13 08:00:00+00:00,175.93,22482,32930,15595,0
297,2019-01-13 09:00:00+00:00,171.13,22370,33291,15772,0
298,2019-01-13 10:00:00+00:00,167.21,22407,33966,15346,0
299,2019-01-13 11:00:00+00:00,166.77,22443,35326,15543,0
300,2019-01-13 12:00:00+00:00,159.49,22419,32958,15414,0
301,2019-01-13 13:00:00+00:00,152.1,22524,30610,14712,0
302,2019-01-13 14:00:00+00:00,152.59,22591,30641,15096,0
303,2019-01-13 15:00:00+00:00,152.4,22567,30810,15232,0
304,2019-01-13 16:00:00+00:00,153.29,22502,31212,15854,0
305,2019-01-13 17:00:00+00:00,151.71,22540,31476,16140,0
306,2019-01-13 18:00:00+00:00,149.89,22534,31299,16122,0
307,2019-01-13 19:00:00+00:00,146.47,22496,30145,15741,0
308,2019-01-13 20:00:00+00:00,144.79,22524,28864,15446,0
309,2019-01-13 21:00:00+00:00,149.36,22516,29993,15322,0
310,2019-01-13 22:00:00+00:00,153.86,22433,30468,15375,0
311,2019-01-13 23:00:00+00:00,154.62,22432,29591,15073,0
312,2019-01-14 00:00:00+00:00,155.14,22280,29117,15921,0
313,2019-01-14 01:00:00+00:00,157.78,22157,28883,16157,0
314,2019-01-14 02:00:00+00:00,160.45,22154,29058,16268,0
315,2019-01-14 03:00:00+00:00,169.46,22194,31572,16524,0
316,2019-01-14 04:00:00+00:00,175.57,22266,33358,17714,0
317,2019-01-14 05:00:00+00:00,191.91,22219,39127,21437,0
318,2019-01-14 06:00:00+00:00,220.07,22200,50199,26120,0
319,2019-01-14 07:00:00+00:00,241.74,22241,58086,28812,0
320,2019-01-14 08:00:00+00:00,252.79,22207,62672,29326,0
321,2019-01-14 09:00:00+00:00,253.3,22203,64502,29213,0
322,2019-01-14 10:00:00+00:00,246.32,21897,63930,29628,0
323,2019-01-14 11:00:00+00:00,237.26,21799,62583,29773,0
324,2019-01-14 12:00:00+00:00,229.14,21851,59910,29310,0
325,2019-01-14 13:00:00+00:00,231.37,21758,60749,29195,0
326,2019-01-14 14:00:00+00:00,240.19,21737,62973,29504,0
327,2019-01-14 15:00:00+00:00,253.96,21882,65520,30140,0
328,2019-01-14 16:00:00+00:00,263.73,21939,67670,30500,0
329,2019-01-14 17:00:00+00:00,275.11,21927,70479,32072,0
330,2019-01-14 18:00:00+00:00,282.29,22003,72878,32644,0
331,2019-01-14 19:00:00+00:00,281.59,21994,72128,31727,0
332,2019-01-14 20:00:00+00:00,279.02,21904,70367,30496,0
333,2019-01-14 21:00:00+00:00,278.87,21879,69909,29738,0
334,2019-01-14 22:00:00+00:00,275.16,21746,67594,27694,0
335,2019-01-14 23:00:00+00:00,268.46,21699,64524,24781,0
336,2019-01-15 00:00:00+00:00,264.82,21669,63230,23293,0
337,2019-01-15 01:00:00+00:00,260.68,21639,61522,24106,0
338,2019-01-15 02:00:00+00:00,261.21,21924,61836,23423,0
339,2019-01-15 03:00:00+00:00,256.07,21908,60915,23705,0
340,2019-01-15 04:00:00+00:00,258.1,21770,63208,24368,0
341,2019-01-15 05:00:00+00:00,265.1,21513,66730,27223,0
342,2019-01-15 06:00:00+00:00,281.53,21533,75775,31529,0
343,2019-01-15 07:00:00+00:00,287.2,21821,79568,32975,0
344,2019-01-15 08:00:00+00:00,295.35,21804,83396,32972,0
345,2019-01-15 09:00:00+00:00,296.62,21735,85337,33227,0
346,2019-01-15 10:00:00+00:00,293.07,21745,85819,32402,0
347,2019-01-15 11:00:00+00:00,287.22,21518,84553,32568,0
348,2019-01-15 12:00:00+00:00,282.66,21629,83653,32317,0
349,2019-01-15 13:00:00+00:00,279.8,21716,82452,31704,0
350,2019-01-15 14:00:00+00:00,277.16,21630,80595,32049,0
351,2019-01-15 15:00:00+00:00,275.68,21837,80249,32323,0
352,2019-01-15 16:00:00+00:00,272.37,21890,78334,32455,0
353,2019-01-15 17:00:00+00:00,269.93,21864,76754,33031,0
354,2019-01-15 18:00:00+00:00,263.64,21922,73099,32525,0
355,2019-01-15 19:00:00+00:00,255.32,21875,68612,30783,0
356,2019-01-15 20:00:00+00:00,244.25,21640,62400,28364,0
357,2019-01-15 21:00:00+00:00,238.71,21814,58880,26203,0
358,2019-01-15 22:00:00+00:00,238.21,21797,57090,25153,0
359,2019-01-15 23:00:00+00:00,236.28,21863,55930,24246,0
360,2019-01-16 00:00:00+00:00,232.14,21794,53356,22290,0
361,2019-01-16 01:00:00+00:00,233.99,21937,52601,22153,0
362,2019-01-16 02:00:00+00:00,240.88,21944,54149,22168,0
363,2019-01-16 03:00:00+00:00,246.6,21773,55734,22400,0
364,2019-01-16 04:00:00+00:00,254.15,21716,57581,23543,0
365,2019-01-16 05:00:00+00:00,284.28,21673,68273,26804,0
366,2019-01-16 06:00:00+00:00,316,21655,84404,30459,0
367,2019-01-16 07:00:00+00:00,326.08,21740,89594,31712,0
368,2019-01-16 08:00:00+00:00,332.91,21762,93805,33915,0
369,2019-01-16 09:00:00+00:00,322.92,21765,92265,35100,0
370,2019-01-16 10:00:00+00:00,304.57,21755,86340,36743,0
371,2019-01-16 11:00:00+00:00,292.07,21763,83192,35608,0
372,2019-01-16 12:00:00+00:00,287.33,21757,81899,35501,0
373,2019-01-16 13:00:00+00:00,286.04,21734,79399,35514,0
374,2019-01-16 14:00:00+00:00,301.54,21769,83492,35827,0
375,2019-01-16 15:00:00+00:00,319.35,21822,87349,38165,0
376,2019-01-16 16:00:00+00:00,325.33,21817,88412,38070,0
377,2019-01-16 17:00:00+00:00,327.17,21819,90680,38030,0
378,2019-01-16 18:00:00+00:00,323.89,21980,91071,37220,0
379,2019-01-16 19:00:00+00:00,309.12,21955,85567,35025,0
380,2019-01-16 20:00:00+00:00,283.93,21936,73861,32545,0
381,2019-01-16 21:00:00+00:00,269.59,21924,67662,30111,0
382,2019-01-16 22:00:00+00:00,260.14,21765,63383,29184,0
383,2019-01-16 23:00:00+00:00,242.2,21757,56801,24713,0
384,2019-01-17 00:00:00+00:00,230.85,21677,53775,20801,0
385,2019-01-17 01:00:00+00:00,226.73,21780,52284,20045,0
386,2019-01-17 02:00:00+00:00,226.27,21841,52407,20486,0
387,2019-01-17 03:00:00+00:00,229.07,21776,54069,20857,0
388,2019-01-17 04:00:00+00:00,234.56,21683,56042,21837,0
389,2019-01-17 05:00:00+00:00,250.33,21645,61912,23859,0
390,2019-01-17 06:00:00+00:00,292.57,21657,81249,28723,0
391,2019-01-17 07:00:00+00:00,317.04,21719,93061,32603,0
392,2019-01-17 08:00:00+00:00,326.35,21750,96688,34919,0
393,2019-01-17 09:00:00+00:00,328.21,21731,98636,34575,0
394,2019-01-17 10:00:00+00:00,320.64,21696,97869,33065,0
395,2019-01-17 11:00:00+00:00,312.42,21697,95291,32237,0
396,2019-01-17 12:00:00+00:00,312.51,21663,94728,31794,0
397,2019-01-17 13:00:00+00:00,317.91,21717,95675,31734,0
398,2019-01-17 14:00:00+00:00,329.9,21803,99286,31210,0
399,2019-01-17 15:00:00+00:00,342.86,21806,102508,31663,0
400,2019-01-17 16:00:00+00:00,342.47,21755,102564,31439,0
401,2019-01-17 17:00:00+00:00,332.11,21740,99873,31843,0
402,2019-01-17 18:00:00+00:00,325.17,21984,95799,31418,0
403,2019-01-17 19:00:00+00:00,321.96,21983,93675,31248,0
404,2019-01-17 20:00:00+00:00,317.99,22051,90989,30515,0
405,2019-01-17 21:00:00+00:00,316.05,21979,87803,29431,0
406,2019-01-17 22:00:00+00:00,320.16,21790,86162,28839,0
407,2019-01-17 23:00:00+00:00,323.9,21746,83161,27542,0
408,2019-01-18 00:00:00+00:00,335.88,21524,85890,25640,0
