UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
2023-12-20 00:00:00,5128.0,5789.0,1928.0,0.0,4.0,19269.0,1506.0,14489.0
2023-12-20 01:00:00,5013.0,5634.0,1928.0,0.0,4.0,20137.0,1496.0,15268.0
2023-12-20 02:00:00,5044.0,5465.0,1928.0,0.0,4.0,20265.0,1487.0,15361.0
2023-12-20 03:00:00,5028.0,5166.0,1928.0,0.0,4.0,20838.0,1475.0,15961.0
2023-12-20 04:00:00,5005.0,5273.0,1928.0,0.0,4.0,21258.0,1491.0,16866.0
2023-12-20 05:00:00,5269.0,5841.0,1928.0,0.0,4.0,21341.0,1476.0,18028.0
2023-12-20 06:00:00,6831.0,6482.0,1928.0,0.0,4.0,21381.0,1487.0,19521.0
2023-12-20 07:00:00,7709.0,6982.0,1928.0,0.0,4.0,21601.0,1509.0,20931.0
2023-12-20 08:00:00,7806.0,7556.0,1928.0,0.0,26.0,21383.0,1477.0,21473.0
2023-12-20 09:00:00,7919.0,7508.0,1928.0,0.0,98.0,20987.0,1467.0,21608.0
2023-12-20 10:00:00,6395.0,6989.0,1928.0,0.0,194.0,20182.0,1488.0,22128.0
2023-12-20 11:00:00,5638.0,7097.0,1928.0,0.0,227.0,19511.0,1511.0,21509.0
2023-12-20 12:00:00,6231.0,6759.0,1925.0,0.0,160.0,19845.0,1489.0,20796.0
2023-12-20 13:00:00,6230.0,6422.0,1924.0,0.0,78.0,19437.0,1400.0,18520.0
2023-12-20 14:00:00,6911.0,6947.0,1924.0,0.0,18.0,20451.0,1422.0,18737.0
2023-12-20 15:00:00,7973.0,7489.0,1928.0,0.0,4.0,20552.0,1471.0,19592.0
2023-12-20 16:00:00,8017.0,7379.0,1928.0,0.0,4.0,20245.0,1461.0,21221.0
2023-12-20 17:00:00,7529.0,7456.0,1928.0,0.0,4.0,20672.0,1494.0,21741.0
2023-12-20 18:00:00,6710.0,6911.0,1929.0,0.0,4.0,21122.0,1513.0,22445.0
2023-12-20 19:00:00,6131.0,5904.0,1928.0,0.0,4.0,22030.0,1510.0,21772.0
2023-12-20 20:00:00,5346.0,5603.0,1928.0,0.0,4.0,22060.0,1490.0,20562.0
2023-12-20 21:00:00,3983.0,5730.0,1928.0,0.0,4.0,21781.0,1496.0,19575.0
2023-12-20 22:00:00,3844.0,5741.0,1928.0,0.0,4.0,21672.0,1487.0,18789.0
2023-12-20 23:00:00,3856.0,4822.0,1928.0,0.0,4.0,21181.0,1463.0,17390.0
