Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
42624,2023-11-12 00:00:00,2024-07-17 00:00:00,3.1,453.35,6553.0,9268.0,1936.0,0.0,4.0,1518.0,1237.0,7328.0
42625,2023-11-12 01:00:00,2024-07-17 00:00:00,3.1,443.08,5830.0,9116.0,1936.0,0.0,4.0,1609.0,1234.0,7109.0
42626,2023-11-12 02:00:00,2024-07-17 00:00:00,3.1,437.65,5548.0,8850.0,1936.0,0.0,4.0,1723.0,1246.0,6981.0
42627,2023-11-12 03:00:00,2024-07-17 00:00:00,3.1,439.53,5410.0,9165.0,1936.0,0.0,4.0,1532.0,1223.0,7138.0
42628,2023-11-12 04:00:00,2024-07-17 00:00:00,3.1,442.84,5920.0,9207.0,1934.0,0.0,4.0,1631.0,1201.0,6851.0
42629,2023-11-12 05:00:00,2024-07-17 00:00:00,3.1,455.07,6626.0,9079.0,1932.0,0.0,4.0,1451.0,1177.0,6912.0
42630,2023-11-12 06:00:00,2024-07-17 00:00:00,3.1,460.95,7368.0,8835.0,1932.0,0.0,3.0,1691.0,1150.0,7030.0
42631,2023-11-12 07:00:00,2024-07-17 00:00:00,3.1,461.14,7287.0,8784.0,1935.0,0.0,38.0,1883.0,1095.0,7955.0
42632,2023-11-12 08:00:00,2024-07-17 00:00:00,3.1,475.62,7964.0,8643.0,1935.0,0.0,154.0,1978.0,1081.0,11035.0
42633,2023-11-12 09:00:00,2024-07-17 00:00:00,3.1,487.96,7962.0,7950.0,1936.0,0.0,336.0,1768.0,1079.0,14587.0
42634,2023-11-12 10:00:00,2024-07-17 00:00:00,3.1,493.19,8128.0,9384.0,1936.0,0.0,409.0,1575.0,1120.0,18008.0
42635,2023-11-12 11:00:00,2024-07-17 00:00:00,3.1,490.12,8387.0,10215.0,1936.0,0.0,429.0,1824.0,1147.0,18600.0
42636,2023-11-12 12:00:00,2024-07-17 00:00:00,3.1,483.3,8620.0,11438.0,1936.0,0.0,410.0,1844.0,1161.0,16323.0
42637,2023-11-12 13:00:00,2024-07-17 00:00:00,3.1,468.57,8772.0,14241.0,1936.0,0.0,321.0,1902.0,1196.0,12745.0
42638,2023-11-12 14:00:00,2024-07-17 00:00:00,3.1,448.56,8732.0,19648.0,1936.0,0.0,112.0,2007.0,1219.0,9409.0
42639,2023-11-12 15:00:00,2024-07-17 00:00:00,3.1,439.61,8582.0,22827.0,1936.0,0.0,12.0,2149.0,1226.0,8712.0
42640,2023-11-12 16:00:00,2024-07-17 00:00:00,3.1,438.97,8653.0,23723.0,1934.0,0.0,4.0,2743.0,1140.0,10392.0
42641,2023-11-12 17:00:00,2024-07-17 00:00:00,3.1,433.05,8628.0,23383.0,1933.0,0.0,4.0,3676.0,1114.0,11034.0
42642,2023-11-12 18:00:00,2024-07-17 00:00:00,3.1,427.12,8490.0,22785.0,1933.0,0.0,4.0,4355.0,1131.0,11128.0
42643,2023-11-12 19:00:00,2024-07-17 00:00:00,3.1,428.82,8627.0,21564.0,1933.0,0.0,4.0,4303.0,1140.0,10782.0
42644,2023-11-12 20:00:00,2024-07-17 00:00:00,3.1,440.02,8695.0,17151.0,1936.0,0.0,4.0,3697.0,1131.0,10348.0
42645,2023-11-12 21:00:00,2024-07-17 00:00:00,3.1,455.27,8671.0,11350.0,1936.0,0.0,4.0,3199.0,1152.0,9937.0
42646,2023-11-12 22:00:00,2024-07-17 00:00:00,3.1,463.52,8570.0,8535.0,1936.0,0.0,4.0,2750.0,1173.0,8747.0
42647,2023-11-12 23:00:00,2024-07-17 00:00:00,3.1,447.68,7341.0,6192.0,1936.0,0.0,4.0,2966.0,1208.0,7268.0
