UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-04-04 00:00:00,343.0,237.0,32.0,0.0,250.0,859.0
2023-04-04 01:00:00,342.0,234.0,32.0,0.0,273.0,877.0
2023-04-04 02:00:00,347.0,261.0,33.0,0.0,361.0,875.0
2023-04-04 03:00:00,375.0,290.0,36.0,0.0,461.0,881.0
2023-04-04 04:00:00,495.0,348.0,39.0,4.0,615.0,907.0
2023-04-04 05:00:00,498.0,387.0,40.0,134.0,634.0,923.0
2023-04-04 06:00:00,497.0,375.0,41.0,519.0,578.0,1002.0
2023-04-04 07:00:00,466.0,285.0,41.0,886.0,461.0,1000.0
2023-04-04 08:00:00,335.0,197.0,38.0,1146.0,470.0,974.0
2023-04-04 09:00:00,259.0,184.0,39.0,1441.0,459.0,978.0
2023-04-04 10:00:00,258.0,166.0,38.0,1605.0,379.0,964.0
2023-04-04 11:00:00,254.0,162.0,38.0,1605.0,335.0,958.0
2023-04-04 12:00:00,254.0,157.0,37.0,1490.0,338.0,882.0
2023-04-04 13:00:00,255.0,161.0,38.0,1330.0,359.0,917.0
2023-04-04 14:00:00,257.0,194.0,39.0,1014.0,397.0,975.0
2023-04-04 15:00:00,309.0,311.0,46.0,703.0,427.0,1056.0
2023-04-04 16:00:00,410.0,362.0,45.0,348.0,389.0,1029.0
2023-04-04 17:00:00,416.0,392.0,48.0,75.0,302.0,1066.0
2023-04-04 18:00:00,431.0,419.0,51.0,1.0,321.0,1081.0
2023-04-04 19:00:00,423.0,388.0,47.0,0.0,301.0,985.0
2023-04-04 20:00:00,443.0,337.0,45.0,0.0,261.0,947.0
2023-04-04 21:00:00,441.0,315.0,41.0,0.0,274.0,972.0
2023-04-04 22:00:00,347.0,288.0,36.0,0.0,235.0,910.0
2023-04-04 23:00:00,358.0,281.0,37.0,0.0,228.0,959.0
