UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-07-19 00:00:00,286.0,74.0,17.0,0.0,1170.0,566.0
2023-07-19 01:00:00,255.0,91.0,21.0,0.0,1097.0,583.0
2023-07-19 02:00:00,234.0,93.0,22.0,0.0,1005.0,536.0
2023-07-19 03:00:00,117.0,97.0,23.0,14.0,875.0,578.0
2023-07-19 04:00:00,95.0,90.0,19.0,119.0,720.0,700.0
2023-07-19 05:00:00,93.0,89.0,19.0,330.0,696.0,688.0
2023-07-19 06:00:00,105.0,94.0,21.0,637.0,814.0,603.0
2023-07-19 07:00:00,117.0,97.0,23.0,907.0,788.0,486.0
2023-07-19 08:00:00,127.0,116.0,25.0,1007.0,725.0,606.0
2023-07-19 09:00:00,146.0,207.0,107.0,1104.0,655.0,703.0
2023-07-19 10:00:00,98.0,99.0,23.0,1193.0,708.0,711.0
2023-07-19 11:00:00,114.0,93.0,23.0,1305.0,805.0,495.0
2023-07-19 12:00:00,110.0,89.0,22.0,1247.0,969.0,461.0
2023-07-19 13:00:00,109.0,89.0,22.0,1207.0,1129.0,525.0
2023-07-19 14:00:00,108.0,90.0,21.0,1217.0,1347.0,503.0
2023-07-19 15:00:00,111.0,92.0,22.0,1021.0,1423.0,487.0
2023-07-19 16:00:00,122.0,103.0,24.0,754.0,1422.0,500.0
2023-07-19 17:00:00,122.0,117.0,24.0,393.0,1454.0,494.0
2023-07-19 18:00:00,122.0,120.0,24.0,130.0,1401.0,526.0
2023-07-19 19:00:00,122.0,119.0,24.0,21.0,1366.0,550.0
2023-07-19 20:00:00,119.0,101.0,24.0,0.0,1378.0,555.0
2023-07-19 21:00:00,125.0,116.0,25.0,0.0,1612.0,599.0
2023-07-19 22:00:00,121.0,105.0,24.0,0.0,1863.0,504.0
2023-07-19 23:00:00,122.0,103.0,24.0,0.0,2013.0,521.0
