UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-05-26 00:00:00,177.0,171.0,35.0,0.0,3518.0,397.0
2023-05-26 01:00:00,159.0,162.0,31.0,0.0,3272.0,394.0
2023-05-26 02:00:00,186.0,228.0,45.0,1.0,3105.0,440.0
2023-05-26 03:00:00,222.0,291.0,60.0,44.0,3021.0,444.0
2023-05-26 04:00:00,197.0,171.0,39.0,202.0,2977.0,468.0
2023-05-26 05:00:00,215.0,204.0,42.0,511.0,3138.0,429.0
2023-05-26 06:00:00,186.0,152.0,36.0,824.0,3374.0,346.0
2023-05-26 07:00:00,180.0,168.0,35.0,1192.0,3289.0,345.0
2023-05-26 08:00:00,184.0,173.0,36.0,1494.0,3012.0,346.0
2023-05-26 09:00:00,176.0,170.0,35.0,1724.0,2780.0,393.0
2023-05-26 10:00:00,149.0,153.0,29.0,1995.0,2655.0,357.0
2023-05-26 11:00:00,109.0,127.0,21.0,2099.0,2407.0,316.0
2023-05-26 12:00:00,96.0,119.0,19.0,2066.0,2142.0,329.0
2023-05-26 13:00:00,100.0,99.0,20.0,1918.0,2300.0,305.0
2023-05-26 14:00:00,126.0,112.0,25.0,1687.0,2397.0,313.0
2023-05-26 15:00:00,149.0,129.0,29.0,1379.0,2377.0,360.0
2023-05-26 16:00:00,173.0,144.0,34.0,905.0,2187.0,431.0
2023-05-26 17:00:00,189.0,154.0,37.0,430.0,2004.0,428.0
2023-05-26 18:00:00,189.0,175.0,37.0,151.0,1649.0,438.0
2023-05-26 19:00:00,176.0,195.0,35.0,22.0,1408.0,427.0
2023-05-26 20:00:00,174.0,218.0,34.0,0.0,1334.0,422.0
2023-05-26 21:00:00,183.0,218.0,36.0,2.0,1329.0,415.0
2023-05-26 22:00:00,171.0,184.0,33.0,0.0,1263.0,346.0
2023-05-26 23:00:00,176.0,174.0,35.0,0.0,1204.0,327.0
