,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-10 00:00:00,2023-08-13 18:15:09,3.0,445.57,3669.0,1467.0,176.0,1107.0,1091.0,116.0
1,2023-08-10 01:00:00,2023-08-13 18:15:09,3.0,470.78,3951.0,1674.0,178.0,783.0,1134.0,118.0
2,2023-08-10 02:00:00,2023-08-13 18:15:09,3.0,531.28,4317.0,1701.0,178.0,224.0,950.0,120.0
3,2023-08-10 03:00:00,2023-08-13 18:15:09,3.0,570.98,4649.0,1710.0,178.0,14.0,746.0,124.0
4,2023-08-10 04:00:00,2023-08-13 18:15:09,3.0,580.45,4752.0,1723.0,177.0,0.0,667.0,127.0
5,2023-08-10 05:00:00,2023-08-13 18:15:09,3.0,576.36,4661.0,1692.0,175.0,0.0,704.0,127.0
6,2023-08-10 06:00:00,2023-08-13 18:15:09,3.0,570.8,4511.0,1675.0,178.0,0.0,729.0,131.0
7,2023-08-10 07:00:00,2023-08-13 18:15:09,3.0,561.46,4246.0,1418.0,178.0,0.0,843.0,129.0
8,2023-08-10 08:00:00,2023-08-13 18:15:09,3.0,526.89,3748.0,1304.0,179.0,0.0,1103.0,132.0
9,2023-08-10 09:00:00,2023-08-13 18:15:09,3.0,499.69,3417.0,1193.0,177.0,0.0,1313.0,130.0
10,2023-08-10 10:00:00,2023-08-13 18:15:09,3.0,490.85,3341.0,1146.0,176.0,0.0,1396.0,129.0
11,2023-08-10 11:00:00,2023-08-13 18:15:09,3.0,478.41,3221.0,1154.0,180.0,0.0,1481.0,132.0
12,2023-08-10 12:00:00,2023-08-13 18:15:09,3.0,479.24,3218.0,1159.0,179.0,0.0,1468.0,130.0
13,2023-08-10 13:00:00,2023-08-13 18:15:09,3.0,472.77,3136.0,1286.0,179.0,4.0,1471.0,131.0
14,2023-08-10 14:00:00,2023-08-13 18:15:09,3.0,490.86,3391.0,1320.0,176.0,183.0,1197.0,127.0
15,2023-08-10 15:00:00,2023-08-13 18:15:09,3.0,496.2,3771.0,1254.0,179.0,802.0,725.0,127.0
16,2023-08-10 16:00:00,2023-08-13 18:15:09,3.0,475.26,3866.0,1280.0,178.0,1279.0,602.0,125.0
17,2023-08-10 17:00:00,2023-08-13 18:15:09,3.0,460.38,3879.0,1333.0,177.0,1445.0,671.0,121.0
18,2023-08-10 18:00:00,2023-08-13 18:15:09,3.0,450.36,3898.0,1334.0,177.0,1398.0,900.0,119.0
19,2023-08-10 19:00:00,2023-08-13 18:15:09,3.0,406.42,3406.0,1318.0,174.0,1273.0,1447.0,118.0
20,2023-08-10 20:00:00,2023-08-13 18:15:09,3.0,372.21,3032.0,1359.0,176.0,1084.0,1954.0,116.0
21,2023-08-10 21:00:00,2023-08-13 18:15:09,3.0,375.87,2930.0,1395.0,173.0,709.0,2152.0,116.0
22,2023-08-10 22:00:00,2023-08-13 18:15:09,3.0,357.48,3004.0,1420.0,173.0,949.0,2382.0,118.0
23,2023-08-10 23:00:00,2023-08-13 18:15:09,3.0,347.32,3027.0,1454.0,171.0,1128.0,2449.0,86.0
