UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-04-08 00:00:00,84.0,169.0,1774.0,45.0,378.0,0.0,0.0,86.0,169.0
2023-04-08 01:00:00,84.0,173.0,1684.0,45.0,377.0,0.0,0.0,84.0,171.0
2023-04-08 02:00:00,85.0,176.0,1680.0,45.0,401.0,0.0,0.0,85.0,176.0
2023-04-08 03:00:00,88.0,188.0,1679.0,46.0,413.0,0.0,0.0,83.0,180.0
2023-04-08 04:00:00,87.0,177.0,1682.0,45.0,482.0,2.0,0.0,84.0,179.0
2023-04-08 05:00:00,88.0,179.0,1680.0,45.0,571.0,10.0,0.0,84.0,178.0
2023-04-08 06:00:00,88.0,193.0,1677.0,46.0,648.0,28.0,0.0,83.0,179.0
2023-04-08 07:00:00,88.0,197.0,1679.0,45.0,625.0,58.0,0.0,84.0,178.0
2023-04-08 08:00:00,88.0,177.0,1679.0,45.0,445.0,94.0,0.0,86.0,175.0
2023-04-08 09:00:00,88.0,176.0,1676.0,45.0,409.0,109.0,0.0,85.0,175.0
2023-04-08 10:00:00,88.0,177.0,1675.0,45.0,408.0,96.0,0.0,82.0,176.0
2023-04-08 11:00:00,88.0,180.0,1677.0,45.0,411.0,81.0,0.0,81.0,182.0
2023-04-08 12:00:00,88.0,188.0,1673.0,46.0,388.0,67.0,0.0,81.0,184.0
2023-04-08 13:00:00,88.0,201.0,1692.0,46.0,398.0,51.0,0.0,85.0,190.0
2023-04-08 14:00:00,88.0,181.0,1699.0,45.0,366.0,45.0,0.0,83.0,185.0
2023-04-08 15:00:00,88.0,181.0,1696.0,45.0,489.0,26.0,0.0,81.0,185.0
2023-04-08 16:00:00,87.0,187.0,1694.0,45.0,639.0,9.0,0.0,84.0,174.0
2023-04-08 17:00:00,87.0,176.0,1700.0,45.0,629.0,1.0,0.0,81.0,174.0
2023-04-08 18:00:00,87.0,175.0,1708.0,45.0,629.0,0.0,0.0,82.0,171.0
2023-04-08 19:00:00,85.0,181.0,1709.0,45.0,607.0,0.0,0.0,81.0,171.0
2023-04-08 20:00:00,83.0,188.0,1710.0,49.0,615.0,0.0,0.0,81.0,171.0
2023-04-08 21:00:00,83.0,181.0,1712.0,45.0,546.0,0.0,0.0,84.0,170.0
2023-04-08 22:00:00,83.0,171.0,1711.0,45.0,515.0,0.0,0.0,83.0,167.0
2023-04-08 23:00:00,83.0,173.0,1711.0,45.0,470.0,0.0,0.0,84.0,165.0
