Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
35160,2023-01-05 00:00:00,2024-07-17 00:00:00,3.1,602.79,2091.0,1099.0,558.0
35161,2023-01-05 01:00:00,2024-07-17 00:00:00,3.1,588.58,2104.0,1131.0,650.0
35162,2023-01-05 02:00:00,2024-07-17 00:00:00,3.1,586.98,2158.0,1182.0,674.0
35163,2023-01-05 03:00:00,2024-07-17 00:00:00,3.1,589.75,2127.0,1185.0,642.0
35164,2023-01-05 04:00:00,2024-07-17 00:00:00,3.1,598.11,2139.0,1186.0,590.0
35165,2023-01-05 05:00:00,2024-07-17 00:00:00,3.1,591.59,2051.0,1188.0,599.0
35166,2023-01-05 06:00:00,2024-07-17 00:00:00,3.1,590.33,2035.0,1188.0,601.0
35167,2023-01-05 07:00:00,2024-07-17 00:00:00,3.1,595.38,1935.0,1191.0,529.0
35168,2023-01-05 08:00:00,2024-07-17 00:00:00,3.1,587.37,1843.0,1195.0,542.0
35169,2023-01-05 09:00:00,2024-07-17 00:00:00,3.1,572.44,1826.0,1193.0,630.0
35170,2023-01-05 10:00:00,2024-07-17 00:00:00,3.1,570.4,1804.0,1224.0,629.0
35171,2023-01-05 11:00:00,2024-07-17 00:00:00,3.1,574.17,1840.0,1259.0,615.0
35172,2023-01-05 12:00:00,2024-07-17 00:00:00,3.1,590.48,2043.0,1293.0,585.0
35173,2023-01-05 13:00:00,2024-07-17 00:00:00,3.1,585.82,2152.0,1390.0,645.0
35174,2023-01-05 14:00:00,2024-07-17 00:00:00,3.1,584.38,2087.0,1401.0,627.0
35175,2023-01-05 15:00:00,2024-07-17 00:00:00,3.1,610.04,2163.0,1423.0,473.0
35176,2023-01-05 16:00:00,2024-07-17 00:00:00,3.1,601.9,1995.0,1396.0,472.0
35177,2023-01-05 17:00:00,2024-07-17 00:00:00,3.1,586.83,1908.0,1389.0,539.0
35178,2023-01-05 18:00:00,2024-07-17 00:00:00,3.1,580.45,1899.0,1384.0,579.0
35179,2023-01-05 19:00:00,2024-07-17 00:00:00,3.1,589.62,1888.0,1375.0,515.0
35180,2023-01-05 20:00:00,2024-07-17 00:00:00,3.1,598.65,1891.0,1370.0,459.0
35181,2023-01-05 21:00:00,2024-07-17 00:00:00,3.1,589.0,1811.0,1365.0,490.0
35182,2023-01-05 22:00:00,2024-07-17 00:00:00,3.1,606.44,1874.0,1366.0,405.0
35183,2023-01-05 23:00:00,2024-07-17 00:00:00,3.1,645.91,2113.0,1386.0,239.0
