UTC time,coal,nat_gas,wind
2023-08-17 00:00:00,688.0,1378.0,280.0
2023-08-17 01:00:00,671.0,1398.0,288.0
2023-08-17 02:00:00,552.0,1396.0,381.0
2023-08-17 03:00:00,561.0,1201.0,450.0
2023-08-17 04:00:00,474.0,1040.0,498.0
2023-08-17 05:00:00,351.0,1185.0,614.0
2023-08-17 06:00:00,271.0,1059.0,755.0
2023-08-17 07:00:00,269.0,1038.0,738.0
2023-08-17 08:00:00,270.0,1076.0,667.0
2023-08-17 09:00:00,272.0,1044.0,608.0
2023-08-17 10:00:00,272.0,1191.0,413.0
2023-08-17 11:00:00,272.0,1214.0,273.0
2023-08-17 12:00:00,271.0,1211.0,271.0
2023-08-17 13:00:00,341.0,1111.0,308.0
2023-08-17 14:00:00,434.0,1072.0,289.0
2023-08-17 15:00:00,465.0,1243.0,242.0
2023-08-17 16:00:00,507.0,1302.0,275.0
2023-08-17 17:00:00,506.0,1249.0,385.0
2023-08-17 18:00:00,555.0,1343.0,415.0
2023-08-17 19:00:00,626.0,1440.0,364.0
2023-08-17 20:00:00,638.0,1490.0,316.0
2023-08-17 21:00:00,641.0,1485.0,286.0
2023-08-17 22:00:00,676.0,1496.0,228.0
2023-08-17 23:00:00,665.0,1485.0,190.0
