Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
39288,2023-06-26 00:00:00,2024-07-17 00:00:00,3.1,533.17,963.0,1584.0,398.0
39289,2023-06-26 01:00:00,2024-07-17 00:00:00,3.1,542.61,959.0,1530.0,349.0
39290,2023-06-26 02:00:00,2024-07-17 00:00:00,3.1,557.95,897.0,1286.0,270.0
39291,2023-06-26 03:00:00,2024-07-17 00:00:00,3.1,560.92,846.0,1276.0,234.0
39292,2023-06-26 04:00:00,2024-07-17 00:00:00,3.1,527.66,780.0,1226.0,352.0
39293,2023-06-26 05:00:00,2024-07-17 00:00:00,3.1,519.89,761.0,1239.0,376.0
39294,2023-06-26 06:00:00,2024-07-17 00:00:00,3.1,499.06,724.0,1135.0,455.0
39295,2023-06-26 07:00:00,2024-07-17 00:00:00,3.1,479.89,574.0,1282.0,444.0
39296,2023-06-26 08:00:00,2024-07-17 00:00:00,3.1,458.33,537.0,1057.0,509.0
39297,2023-06-26 09:00:00,2024-07-17 00:00:00,3.1,434.01,437.0,1067.0,540.0
39298,2023-06-26 10:00:00,2024-07-17 00:00:00,3.1,439.33,439.0,1140.0,525.0
39299,2023-06-26 11:00:00,2024-07-17 00:00:00,3.1,489.41,639.0,1154.0,443.0
39300,2023-06-26 12:00:00,2024-07-17 00:00:00,3.1,519.56,782.0,1152.0,395.0
39301,2023-06-26 13:00:00,2024-07-17 00:00:00,3.1,530.88,804.0,1337.0,342.0
39302,2023-06-26 14:00:00,2024-07-17 00:00:00,3.1,573.55,937.0,1377.0,206.0
39303,2023-06-26 15:00:00,2024-07-17 00:00:00,3.1,567.72,883.0,1369.0,209.0
39304,2023-06-26 16:00:00,2024-07-17 00:00:00,3.1,543.29,839.0,1370.0,299.0
39305,2023-06-26 17:00:00,2024-07-17 00:00:00,3.1,495.27,790.0,1354.0,515.0
39306,2023-06-26 18:00:00,2024-07-17 00:00:00,3.1,501.82,876.0,1365.0,535.0
39307,2023-06-26 19:00:00,2024-07-17 00:00:00,3.1,507.96,904.0,1484.0,514.0
39308,2023-06-26 20:00:00,2024-07-17 00:00:00,3.1,491.81,832.0,1567.0,562.0
39309,2023-06-26 21:00:00,2024-07-17 00:00:00,3.1,519.93,948.0,1598.0,465.0
39310,2023-06-26 22:00:00,2024-07-17 00:00:00,3.1,541.13,912.0,1646.0,321.0
39311,2023-06-26 23:00:00,2024-07-17 00:00:00,3.1,559.57,926.0,1645.0,231.0
