Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
40776,2023-08-27 00:00:00,2024-07-17 00:00:00,3.1,165.96,754.0,634.0,184.0,109.0
40777,2023-08-27 01:00:00,2024-07-17 00:00:00,3.1,183.12,780.0,546.0,136.0,114.0
40778,2023-08-27 02:00:00,2024-07-17 00:00:00,3.1,168.12,777.0,755.0,96.0,82.0
40779,2023-08-27 03:00:00,2024-07-17 00:00:00,3.1,156.85,766.0,880.0,90.0,71.0
40780,2023-08-27 04:00:00,2024-07-17 00:00:00,3.1,170.72,735.0,704.0,90.0,64.0
40781,2023-08-27 05:00:00,2024-07-17 00:00:00,3.1,222.48,742.0,420.0,45.0,27.0
40782,2023-08-27 06:00:00,2024-07-17 00:00:00,3.1,211.7,785.0,581.0,1.0,5.0
40783,2023-08-27 07:00:00,2024-07-17 00:00:00,3.1,213.78,754.0,549.0,0.0,2.0
40784,2023-08-27 08:00:00,2024-07-17 00:00:00,3.1,249.73,789.0,375.0,5.0,0.0
40785,2023-08-27 09:00:00,2024-07-17 00:00:00,3.1,300.43,760.0,176.0,0.0,0.0
40786,2023-08-27 10:00:00,2024-07-17 00:00:00,3.1,314.17,771.0,136.0,1.0,0.0
40787,2023-08-27 11:00:00,2024-07-17 00:00:00,3.1,306.91,574.0,118.0,0.0,0.0
40788,2023-08-27 12:00:00,2024-07-17 00:00:00,3.1,290.25,444.0,122.0,0.0,0.0
40789,2023-08-27 13:00:00,2024-07-17 00:00:00,3.1,302.53,426.0,95.0,0.0,0.0
40790,2023-08-27 14:00:00,2024-07-17 00:00:00,3.1,226.85,458.0,269.0,20.0,0.0
40791,2023-08-27 15:00:00,2024-07-17 00:00:00,3.1,240.35,393.0,135.0,77.0,0.0
40792,2023-08-27 16:00:00,2024-07-17 00:00:00,3.1,226.72,375.0,136.0,101.0,0.0
40793,2023-08-27 17:00:00,2024-07-17 00:00:00,3.1,230.62,412.0,140.0,108.0,1.0
40794,2023-08-27 18:00:00,2024-07-17 00:00:00,3.1,234.2,457.0,156.0,104.0,5.0
40795,2023-08-27 19:00:00,2024-07-17 00:00:00,3.1,217.98,532.0,232.0,124.0,15.0
40796,2023-08-27 20:00:00,2024-07-17 00:00:00,3.1,219.41,695.0,270.0,193.0,14.0
40797,2023-08-27 21:00:00,2024-07-17 00:00:00,3.1,217.66,753.0,331.0,184.0,12.0
40798,2023-08-27 22:00:00,2024-07-17 00:00:00,3.1,195.51,800.0,507.0,197.0,10.0
40799,2023-08-27 23:00:00,2024-07-17 00:00:00,3.1,183.43,817.0,632.0,195.0,4.0
