Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
40992,2023-09-05 00:00:00,2024-07-17 00:00:00,3.1,169.69,554.0,454.0,185.0,15.0
40993,2023-09-05 01:00:00,2024-07-17 00:00:00,3.1,163.79,641.0,690.0,106.0,11.0
40994,2023-09-05 02:00:00,2024-07-17 00:00:00,3.1,157.61,728.0,914.0,60.0,7.0
40995,2023-09-05 03:00:00,2024-07-17 00:00:00,3.1,133.1,704.0,1160.0,89.0,4.0
40996,2023-09-05 04:00:00,2024-07-17 00:00:00,3.1,168.09,686.0,822.0,1.0,1.0
40997,2023-09-05 05:00:00,2024-07-17 00:00:00,3.1,165.89,651.0,797.0,4.0,0.0
40998,2023-09-05 06:00:00,2024-07-17 00:00:00,3.1,151.22,544.0,787.0,0.0,0.0
40999,2023-09-05 07:00:00,2024-07-17 00:00:00,3.1,142.64,431.0,687.0,0.0,0.0
41000,2023-09-05 08:00:00,2024-07-17 00:00:00,3.1,238.29,389.0,208.0,7.0,0.0
41001,2023-09-05 09:00:00,2024-07-17 00:00:00,3.1,269.34,388.0,145.0,0.0,0.0
41002,2023-09-05 10:00:00,2024-07-17 00:00:00,3.1,296.61,388.0,90.0,6.0,0.0
41003,2023-09-05 11:00:00,2024-07-17 00:00:00,3.1,290.61,388.0,105.0,1.0,0.0
41004,2023-09-05 12:00:00,2024-07-17 00:00:00,3.1,272.93,388.0,134.0,4.0,0.0
41005,2023-09-05 13:00:00,2024-07-17 00:00:00,3.1,187.4,390.0,293.0,87.0,0.0
41006,2023-09-05 14:00:00,2024-07-17 00:00:00,3.1,180.79,408.0,369.0,58.0,0.0
41007,2023-09-05 15:00:00,2024-07-17 00:00:00,3.1,243.11,387.0,127.0,75.0,0.0
41008,2023-09-05 16:00:00,2024-07-17 00:00:00,3.1,219.74,389.0,96.0,170.0,0.0
41009,2023-09-05 17:00:00,2024-07-17 00:00:00,3.1,224.31,388.0,138.0,114.0,0.0
41010,2023-09-05 18:00:00,2024-07-17 00:00:00,3.1,219.9,397.0,152.0,119.0,0.0
41011,2023-09-05 19:00:00,2024-07-17 00:00:00,3.1,235.78,462.0,152.0,105.0,6.0
41012,2023-09-05 20:00:00,2024-07-17 00:00:00,3.1,215.26,562.0,192.0,170.0,42.0
41013,2023-09-05 21:00:00,2024-07-17 00:00:00,3.1,202.6,587.0,217.0,198.0,70.0
41014,2023-09-05 22:00:00,2024-07-17 00:00:00,3.1,209.28,625.0,214.0,201.0,65.0
41015,2023-09-05 23:00:00,2024-07-17 00:00:00,3.1,190.47,662.0,335.0,205.0,84.0
