Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
43176,2023-12-05 00:00:00,2024-07-17 00:00:00,3.1,336.98,613.0,212.0,46.0,43.0
43177,2023-12-05 01:00:00,2024-07-17 00:00:00,3.1,318.91,699.0,279.0,89.0,42.0
43178,2023-12-05 02:00:00,2024-07-17 00:00:00,3.1,273.8,739.0,493.0,90.0,61.0
43179,2023-12-05 03:00:00,2024-07-17 00:00:00,3.1,271.1,745.0,579.0,16.0,63.0
43180,2023-12-05 04:00:00,2024-07-17 00:00:00,3.1,299.67,724.0,436.0,17.0,46.0
43181,2023-12-05 05:00:00,2024-07-17 00:00:00,3.1,284.29,708.0,504.0,1.0,52.0
43182,2023-12-05 06:00:00,2024-07-17 00:00:00,3.1,327.6,688.0,263.0,68.0,40.0
43183,2023-12-05 07:00:00,2024-07-17 00:00:00,3.1,376.72,683.0,176.0,2.0,40.0
43184,2023-12-05 08:00:00,2024-07-17 00:00:00,3.1,378.82,635.0,143.0,0.0,54.0
43185,2023-12-05 09:00:00,2024-07-17 00:00:00,3.1,359.09,647.0,179.0,0.0,71.0
43186,2023-12-05 10:00:00,2024-07-17 00:00:00,3.1,343.53,595.0,177.0,0.0,92.0
43187,2023-12-05 11:00:00,2024-07-17 00:00:00,3.1,336.41,557.0,178.0,0.0,92.0
43188,2023-12-05 12:00:00,2024-07-17 00:00:00,3.1,332.37,578.0,185.0,0.0,106.0
43189,2023-12-05 13:00:00,2024-07-17 00:00:00,3.1,333.24,675.0,214.0,0.0,123.0
43190,2023-12-05 14:00:00,2024-07-17 00:00:00,3.1,350.34,730.0,197.0,0.0,111.0
43191,2023-12-05 15:00:00,2024-07-17 00:00:00,3.1,293.24,721.0,434.0,3.0,86.0
43192,2023-12-05 16:00:00,2024-07-17 00:00:00,3.1,357.32,603.0,96.0,65.0,80.0
43193,2023-12-05 17:00:00,2024-07-17 00:00:00,3.1,300.28,472.0,99.0,136.0,95.0
43194,2023-12-05 18:00:00,2024-07-17 00:00:00,3.1,323.25,482.0,95.0,61.0,112.0
43195,2023-12-05 19:00:00,2024-07-17 00:00:00,3.1,328.22,535.0,78.0,65.0,140.0
43196,2023-12-05 20:00:00,2024-07-17 00:00:00,3.1,330.13,574.0,79.0,68.0,151.0
43197,2023-12-05 21:00:00,2024-07-17 00:00:00,3.1,332.41,572.0,79.0,60.0,151.0
43198,2023-12-05 22:00:00,2024-07-17 00:00:00,3.1,342.62,557.0,79.0,62.0,116.0
43199,2023-12-05 23:00:00,2024-07-17 00:00:00,3.1,332.68,486.0,96.0,61.0,91.0
