Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
40848,2023-08-30 00:00:00,2024-07-17 00:00:00,3.1,281.61,829.0,466.0,145.0,68.0
40849,2023-08-30 01:00:00,2024-07-17 00:00:00,3.1,259.56,826.0,602.0,166.0,52.0
40850,2023-08-30 02:00:00,2024-07-17 00:00:00,3.1,245.52,806.0,763.0,100.0,34.0
40851,2023-08-30 03:00:00,2024-07-17 00:00:00,3.1,247.97,812.0,763.0,89.0,32.0
40852,2023-08-30 04:00:00,2024-07-17 00:00:00,3.1,248.67,786.0,753.0,82.0,16.0
40853,2023-08-30 05:00:00,2024-07-17 00:00:00,3.1,320.19,780.0,412.0,21.0,15.0
40854,2023-08-30 06:00:00,2024-07-17 00:00:00,3.1,341.08,754.0,351.0,0.0,3.0
40855,2023-08-30 07:00:00,2024-07-17 00:00:00,3.1,365.15,703.0,250.0,0.0,7.0
40856,2023-08-30 08:00:00,2024-07-17 00:00:00,3.1,378.6,686.0,201.0,0.0,14.0
40857,2023-08-30 09:00:00,2024-07-17 00:00:00,3.1,369.98,622.0,167.0,0.0,47.0
40858,2023-08-30 10:00:00,2024-07-17 00:00:00,3.1,381.55,612.0,168.0,0.0,17.0
40859,2023-08-30 11:00:00,2024-07-17 00:00:00,3.1,383.46,602.0,166.0,0.0,12.0
40860,2023-08-30 12:00:00,2024-07-17 00:00:00,3.1,390.65,613.0,163.0,0.0,3.0
40861,2023-08-30 13:00:00,2024-07-17 00:00:00,3.1,358.42,704.0,277.0,0.0,0.0
40862,2023-08-30 14:00:00,2024-07-17 00:00:00,3.1,343.35,701.0,287.0,24.0,12.0
40863,2023-08-30 15:00:00,2024-07-17 00:00:00,3.1,331.23,615.0,239.0,79.0,5.0
40864,2023-08-30 16:00:00,2024-07-17 00:00:00,3.1,350.9,595.0,157.0,95.0,7.0
40865,2023-08-30 17:00:00,2024-07-17 00:00:00,3.1,343.65,586.0,160.0,107.0,8.0
40866,2023-08-30 18:00:00,2024-07-17 00:00:00,3.1,357.45,725.0,179.0,111.0,5.0
40867,2023-08-30 19:00:00,2024-07-17 00:00:00,3.1,327.69,752.0,245.0,126.0,38.0
40868,2023-08-30 20:00:00,2024-07-17 00:00:00,3.1,315.78,730.0,179.0,189.0,78.0
40869,2023-08-30 21:00:00,2024-07-17 00:00:00,3.1,315.27,776.0,204.0,185.0,86.0
40870,2023-08-30 22:00:00,2024-07-17 00:00:00,3.1,293.42,804.0,306.0,185.0,105.0
40871,2023-08-30 23:00:00,2024-07-17 00:00:00,3.1,262.9,806.0,441.0,175.0,157.0
